month,state,soil type,seed type,weather condition,irrigation,fertilizer usage,pesticide usage,corn price(INR/kg),quality
February,Bihar,Black soil,Hybrid,Warm and dry,Yes,179,40,28,Silkcut
August,Sikkim,Laterite soil,Hybrid,Warm and dry,Yes,287,123,42,Discolored
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,149,31,21,Silkcut
July,West Bengal,Sandy soil,Open-pollinated,Warm and dry,Yes,302,30,27,Silkcut
November,Sikkim,Peaty soil,Open-pollinated,Cold and dry,Yes,279,125,26,Discolored
March,Nagaland,Alluvial soil,Open-pollinated,Hot and humid,Yes,182,72,27,Broken
September,Mizoram,Alluvial soil,Open-pollinated,Monsoon,Yes,218,102,44,Pure
December,Uttar Pradesh,Red soil,Open-pollinated,Warm and dry,Yes,180,70,44,Discolored
August,Tripura,Red soil,Hybrid,Cold and dry,Yes,266,30,30,Silkcut
December,Meghalaya,Sandy soil,Open-pollinated,Monsoon,Yes,284,127,44,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,177,39,27,Silkcut
August,West Bengal,Red soil,Hybrid,Cold and dry,Yes,295,69,22,Broken
January,Bihar,Black soil,Hybrid,Hot and humid,Yes,180,40,29,Pure
June,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,271,126,35,Broken
August,Sikkim,Black soil,Open-pollinated,Hot and humid,Yes,285,129,30,Pure
January,Uttar Pradesh,Alluvial soil,Hybrid,Hot and humid,Yes,299,40,28,Silkcut
December,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,303,39,42,Broken
February,Mizoram,Alluvial soil,Open-pollinated,Hot and humid,Yes,178,108,45,Pure
January,Meghalaya,Sandy loam,Hybrid,Hot and dry,Yes,120,20,39,Broken
October,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,20,Silkcut
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,352,30,22,Silkcut
March,Tripura,Black soil,Hybrid,Hot and humid,Yes,147,40,26,Broken
February,Sikkim,Peaty soil,Open-pollinated,Monsoon,Yes,289,30,44,Silkcut
December,Bihar,Laterite soil,Hybrid,Hot and humid,Yes,288,126,40,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,32,27,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,20,Silkcut
March,Assam,Black soil,Hybrid,Monsoon,Yes,298,79,28,Broken
October,Uttar Pradesh,Alluvial soil,Hybrid,Hot and humid,Yes,347,70,40,Discolored
January,Punjab,Clay soil,Hybrid,Hot and dry,No,120,21,26,Pure
March,Mizoram,Sandy soil,Open-pollinated,Cold and dry,Yes,245,108,39,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,32,21,Silkcut
February,Assam,Black soil,Open-pollinated,Warm and dry,Yes,149,29,28,Silkcut
March,Tripura,Sandy soil,Hybrid,Hot and dry,Yes,348,124,22,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,358,70,28,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,32,29,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,152,31,21,Silkcut
October,Meghalaya,Alluvial soil,Open-pollinated,Warm and dry,Yes,347,30,21,Discolored
March,Mizoram,Laterite soil,Hybrid,Hot and humid,Yes,148,30,20,Pure
March,West Bengal,Black soil,Hybrid,Hot and humid,Yes,178,40,41,Broken
August,Meghalaya,Black soil,Open-pollinated,Hot and humid,Yes,179,40,21,Silkcut
February,Meghalaya,Clay loam,Open-pollinated,Warm and dry,Yes,276,32,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,No,266,29,27,Silkcut
March,Uttar Pradesh,Alluvial soil,Hybrid,Hot and humid,Yes,232,40,36,Broken
February,Mizoram,Black soil,Open-pollinated,Warm and dry,Yes,182,30,39,Silkcut
August,Mizoram,Red soil,Hybrid,Warm and dry,Yes,279,81,26,Broken
September,Meghalaya,Clay soil,Open-pollinated,Hot and humid,Yes,348,104,41,Discolored
February,Haryana,Red soil,Open-pollinated,Cold and dry,Yes,150,31,42,Discolored
May,Haryana,Red soil,Hybrid,Monsoon,Yes,283,129,38,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,31,42,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
January,Punjab,Laterite soil,Hybrid,Hot and dry,Yes,120,20,20,Pure
February,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,182,40,44,Silkcut
April,Jharkhand,Laterite soil,Open-pollinated,Warm and dry,Yes,241,71,41,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,145,29,27,Silkcut
April,Jharkhand,Laterite soil,Hybrid,Hot and humid,Yes,274,39,26,Broken
December,Sikkim,Sandy soil,Hybrid,Warm and dry,Yes,290,130,33,Discolored
January,Meghalaya,Peaty soil,Hybrid,Hot and humid,Yes,288,50,45,Pure
October,Mizoram,Clay loam,Hybrid,Warm and dry,Yes,221,129,29,Broken
May,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,281,40,28,Broken
July,Mizoram,Black soil,Hybrid,Warm and dry,Yes,120,60,28,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,181,70,21,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,120,21,24,Pure
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,Yes,120,21,38,Pure
August,Tripura,Red soil,Open-pollinated,Monsoon,Yes,293,127,42,Silkcut
April,Assam,Red soil,Hybrid,Hot and humid,Yes,242,81,46,Discolored
December,Uttar Pradesh,Alluvial soil,Open-pollinated,Cold and dry,Yes,281,124,41,Discolored
February,Haryana,Black soil,Hybrid,Hot and humid,Yes,178,40,21,Silkcut
March,Nagaland,Red soil,Hybrid,Hot and humid,Yes,179,70,38,Broken
March,Assam,Red soil,Hybrid,Hot and humid,Yes,180,123,26,Discolored
October,Sikkim,Laterite soil,Hybrid,Warm and dry,Yes,341,70,20,Silkcut
December,Jharkhand,Peaty soil,Hybrid,Monsoon,Yes,289,128,27,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,289,130,45,Silkcut
February,Haryana,Red soil,Open-pollinated,Cold and dry,Yes,276,128,29,Silkcut
January,Punjab,Clay soil,Open-pollinated,Hot and dry,Yes,347,21,38,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,No,291,40,31,Broken
February,Assam,Clay soil,Open-pollinated,Monsoon,Yes,180,128,24,Silkcut
May,Sikkim,Sandy soil,Hybrid,Monsoon,Yes,279,90,37,Discolored
May,West Bengal,Clay soil,Open-pollinated,Hot and humid,Yes,150,70,39,Silkcut
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,151,31,26,Silkcut
March,Assam,Clay loam,Open-pollinated,Warm and dry,Yes,271,125,28,Pure
January,Bihar,Sandy loam,Hybrid,Hot and humid,Yes,287,31,39,Broken
February,Meghalaya,Clay loam,Open-pollinated,Warm and dry,Yes,148,33,25,Silkcut
February,Mizoram,Clay soil,Open-pollinated,Monsoon,Yes,203,108,28,Pure
February,West Bengal,Clay loam,Open-pollinated,Warm and dry,Yes,152,30,21,Silkcut
August,Sikkim,Red soil,Hybrid,Monsoon,Yes,302,128,43,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,81,25,Broken
July,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,288,124,44,Silkcut
September,Meghalaya,Peaty soil,Hybrid,Cold and dry,Yes,120,129,24,Broken
March,Jharkhand,Red soil,Open-pollinated,Hot and humid,Yes,309,104,32,Broken
September,Haryana,Alluvial soil,Open-pollinated,Warm and dry,Yes,280,82,35,Pure
August,Assam,Red soil,Open-pollinated,Warm and dry,Yes,266,31,39,Silkcut
March,Sikkim,Sandy loam,Hybrid,Hot and dry,No,355,124,21,Pure
April,Nagaland,Red soil,Hybrid,Hot and humid,Yes,288,121,21,Broken
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Pure
February,Jharkhand,Clay loam,Open-pollinated,Warm and dry,Yes,237,30,27,Silkcut
April,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,147,31,25,Discolored
February,Sikkim,Red soil,Open-pollinated,Hot and humid,Yes,179,127,40,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,151,30,21,Silkcut
March,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,120,20,24,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,150,29,26,Silkcut
September,Mizoram,Red soil,Open-pollinated,Monsoon,Yes,181,102,41,Discolored
January,Sikkim,Clay soil,Hybrid,Monsoon,Yes,296,72,41,Pure
May,Jharkhand,Alluvial soil,Hybrid,Monsoon,Yes,291,71,43,Discolored
March,Uttar Pradesh,Laterite soil,Hybrid,Monsoon,Yes,181,105,42,Broken
February,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,176,32,42,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,285,31,26,Silkcut
August,Sikkim,Black soil,Open-pollinated,Warm and dry,Yes,282,82,39,Pure
April,Jharkhand,Red soil,Open-pollinated,Hot and humid,Yes,263,50,22,Discolored
March,Nagaland,Clay soil,Hybrid,Hot and humid,No,120,20,42,Pure
March,Jharkhand,Alluvial soil,Open-pollinated,Cold and dry,Yes,291,39,29,Silkcut
January,Mizoram,Red soil,Hybrid,Hot and dry,No,120,20,24,Broken
May,Haryana,Black soil,Hybrid,Warm and dry,Yes,292,126,22,Pure
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,123,39,26,Silkcut
May,Mizoram,Sandy soil,Hybrid,Warm and dry,Yes,348,104,29,Broken
September,Tripura,Peaty soil,Open-pollinated,Cold and dry,Yes,279,129,25,Discolored
November,Bihar,Red soil,Hybrid,Warm and dry,Yes,279,130,25,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,30,43,Silkcut
February,Meghalaya,Laterite soil,Hybrid,Warm and dry,Yes,267,80,28,Silkcut
May,Uttar Pradesh,Clay loam,Open-pollinated,Cold and dry,Yes,218,29,41,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,297,31,32,Silkcut
January,Uttar Pradesh,Red soil,Hybrid,Hot and dry,No,120,20,20,Pure
March,Haryana,Laterite soil,Open-pollinated,Hot and dry,Yes,180,41,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Cold and dry,Yes,273,31,28,Silkcut
April,Bihar,Sandy soil,Open-pollinated,Hot and humid,Yes,200,40,41,Pure
March,Bihar,Alluvial soil,Hybrid,Hot and humid,Yes,291,40,21,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,152,32,29,Silkcut
August,Haryana,Alluvial soil,Hybrid,Warm and dry,Yes,201,29,26,Pure
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,120,51,32,Pure
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
January,West Bengal,Alluvial soil,Hybrid,Warm and dry,No,122,82,26,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,269,30,26,Silkcut
February,Haryana,Laterite soil,Hybrid,Warm and dry,Yes,178,69,41,Broken
March,Assam,Black soil,Hybrid,Hot and humid,Yes,178,41,25,Broken
August,Jharkhand,Clay soil,Hybrid,Hot and dry,Yes,295,59,43,Pure
December,Sikkim,Red soil,Open-pollinated,Cold and dry,Yes,349,70,40,Discolored
May,Assam,Peaty soil,Hybrid,Hot and humid,Yes,348,59,40,Discolored
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,120,21,26,Pure
January,Jharkhand,Alluvial soil,Hybrid,Warm and dry,Yes,294,104,32,Silkcut
December,Sikkim,Sandy soil,Hybrid,Monsoon,Yes,256,41,45,Discolored
November,Mizoram,Red soil,Hybrid,Cold and dry,Yes,303,61,38,Silkcut
March,Uttar Pradesh,Black soil,Open-pollinated,Hot and humid,Yes,180,41,40,Broken
May,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,276,40,32,Broken
January,Punjab,Clay soil,Hybrid,Hot and dry,No,120,40,21,Broken
December,Sikkim,Peaty soil,Open-pollinated,Warm and dry,Yes,279,92,24,Silkcut
July,Sikkim,Black soil,Hybrid,Warm and dry,Yes,295,71,30,Silkcut
March,West Bengal,Black soil,Hybrid,Hot and humid,Yes,289,39,21,Silkcut
April,Jharkhand,Red soil,Hybrid,Cold and dry,Yes,287,69,31,Broken
March,Mizoram,Black soil,Hybrid,Warm and dry,Yes,181,40,21,Silkcut
October,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,122,40,42,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,128,28,Discolored
September,Haryana,Red soil,Hybrid,Warm and dry,Yes,120,50,27,Discolored
March,Jharkhand,Black soil,Hybrid,Cold and dry,Yes,179,38,27,Silkcut
August,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,305,31,42,Silkcut
February,Mizoram,Sandy soil,Open-pollinated,Hot and humid,Yes,120,122,44,Pure
March,Mizoram,Black soil,Hybrid,Hot and humid,Yes,354,41,26,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,31,22,Silkcut
January,Bihar,Clay loam,Open-pollinated,Warm and dry,Yes,150,71,33,Silkcut
June,Jharkhand,Sandy soil,Open-pollinated,Warm and dry,Yes,288,31,21,Pure
August,Sikkim,Clay soil,Hybrid,Monsoon,Yes,299,100,42,Discolored
March,Assam,Peaty soil,Hybrid,Monsoon,Yes,274,23,36,Silkcut
May,Sikkim,Sandy soil,Hybrid,Warm and dry,Yes,354,127,29,Pure
December,Sikkim,Sandy loam,Hybrid,Hot and humid,Yes,273,127,35,Pure
March,Jharkhand,Sandy soil,Hybrid,Monsoon,Yes,302,126,40,Silkcut
October,Jharkhand,Sandy soil,Hybrid,Monsoon,Yes,121,122,44,Silkcut
August,Jharkhand,Sandy soil,Open-pollinated,Monsoon,Yes,239,50,42,Discolored
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Pure
February,Haryana,Clay soil,Open-pollinated,Warm and dry,Yes,150,30,27,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,296,30,31,Silkcut
May,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,290,32,30,Silkcut
February,Meghalaya,Clay loam,Open-pollinated,Warm and dry,Yes,255,73,31,Silkcut
May,Sikkim,Red soil,Open-pollinated,Cold and dry,Yes,288,20,46,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,27,Silkcut
July,Nagaland,Sandy soil,Open-pollinated,Warm and dry,Yes,277,126,42,Discolored
January,Punjab,Black soil,Hybrid,Hot and humid,No,284,22,28,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,150,42,20,Broken
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,300,41,28,Broken
August,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,283,105,30,Silkcut
December,Haryana,Red soil,Open-pollinated,Monsoon,Yes,299,106,40,Silkcut
March,Uttar Pradesh,Peaty soil,Open-pollinated,Hot and humid,Yes,179,124,31,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,74,26,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,27,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,28,Pure
May,Uttar Pradesh,Alluvial soil,Hybrid,Hot and humid,Yes,179,128,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,293,32,22,Silkcut
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,178,125,24,Pure
March,Nagaland,Sandy soil,Hybrid,Hot and humid,Yes,286,40,21,Silkcut
September,Sikkim,Sandy soil,Open-pollinated,Monsoon,Yes,289,106,46,Discolored
May,Mizoram,Black soil,Hybrid,Hot and dry,Yes,281,22,42,Pure
December,Jharkhand,Red soil,Open-pollinated,Hot and humid,Yes,263,81,42,Discolored
September,Jharkhand,Clay soil,Hybrid,Hot and dry,Yes,179,40,21,Pure
August,Meghalaya,Alluvial soil,Hybrid,Hot and dry,Yes,267,108,26,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,27,Silkcut
April,Mizoram,Black soil,Open-pollinated,Cold and dry,Yes,315,71,42,Pure
December,Haryana,Alluvial soil,Hybrid,Warm and dry,Yes,285,30,30,Discolored
January,Uttar Pradesh,Clay soil,Hybrid,Warm and dry,Yes,120,21,20,Pure
September,Mizoram,Alluvial soil,Open-pollinated,Warm and dry,Yes,272,20,46,Pure
September,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,217,40,29,Discolored
July,Mizoram,Alluvial soil,Hybrid,Hot and humid,Yes,292,124,39,Pure
January,Punjab,Clay soil,Hybrid,Hot and dry,Yes,277,20,39,Pure
January,Jharkhand,Red soil,Hybrid,Hot and humid,Yes,307,40,25,Pure
August,Sikkim,Black soil,Open-pollinated,Hot and humid,Yes,201,39,43,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,290,39,29,Broken
January,Jharkhand,Peaty soil,Hybrid,Hot and dry,Yes,120,81,24,Pure
October,Tripura,Clay loam,Hybrid,Hot and humid,Yes,149,29,27,Broken
March,Jharkhand,Red soil,Open-pollinated,Monsoon,Yes,291,106,44,Discolored
March,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,290,40,30,Silkcut
March,Punjab,Sandy soil,Hybrid,Hot and humid,Yes,180,41,21,Broken
February,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,148,32,28,Silkcut
March,Jharkhand,Sandy loam,Hybrid,Hot and humid,No,178,40,21,Broken
July,Mizoram,Sandy soil,Hybrid,Monsoon,Yes,277,126,28,Discolored
March,Bihar,Black soil,Hybrid,Cold and dry,Yes,180,104,35,Discolored
April,Assam,Alluvial soil,Hybrid,Monsoon,Yes,278,70,29,Broken
July,Meghalaya,Sandy soil,Open-pollinated,Hot and humid,Yes,148,30,29,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,120,40,21,Pure
January,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,290,39,29,Silkcut
July,Punjab,Black soil,Hybrid,Hot and dry,No,120,21,20,Silkcut
March,Assam,Laterite soil,Open-pollinated,Monsoon,Yes,219,30,28,Pure
March,Meghalaya,Black soil,Hybrid,Monsoon,Yes,294,20,42,Pure
August,Sikkim,Black soil,Hybrid,Warm and dry,Yes,289,126,40,Silkcut
August,Bihar,Black soil,Hybrid,Hot and humid,Yes,276,40,29,Broken
January,Jharkhand,Clay soil,Hybrid,Warm and dry,No,277,21,29,Pure
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,121,20,20,Pure
September,Mizoram,Red soil,Hybrid,Hot and dry,No,243,124,23,Pure
August,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,252,32,26,Silkcut
September,Mizoram,Peaty soil,Open-pollinated,Hot and humid,Yes,298,90,26,Silkcut
July,Nagaland,Red soil,Hybrid,Hot and dry,Yes,295,130,30,Discolored
January,Meghalaya,Alluvial soil,Hybrid,Warm and dry,Yes,275,71,21,Pure
February,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,269,127,39,Silkcut
February,Uttar Pradesh,Clay loam,Open-pollinated,Hot and humid,Yes,295,50,29,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,22,21,Pure
April,Nagaland,Black soil,Hybrid,Hot and humid,Yes,273,128,45,Discolored
May,Uttar Pradesh,Red soil,Hybrid,Hot and humid,Yes,120,91,29,Pure
April,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,356,39,27,Broken
January,Jharkhand,Red soil,Hybrid,Hot and dry,Yes,288,106,40,Broken
January,Haryana,Alluvial soil,Hybrid,Hot and dry,No,120,127,27,Silkcut
June,Sikkim,Alluvial soil,Open-pollinated,Monsoon,Yes,246,124,28,Discolored
March,Haryana,Black soil,Hybrid,Hot and humid,Yes,120,39,29,Broken
December,Meghalaya,Sandy soil,Open-pollinated,Monsoon,Yes,273,102,42,Discolored
August,Jharkhand,Red soil,Open-pollinated,Cold and dry,Yes,291,130,40,Discolored
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,181,41,38,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,25,Pure
January,Nagaland,Peaty soil,Hybrid,Hot and dry,No,288,130,27,Pure
January,Mizoram,Alluvial soil,Hybrid,Hot and dry,No,120,20,20,Pure
March,Sikkim,Laterite soil,Open-pollinated,Monsoon,Yes,352,128,44,Discolored
September,Sikkim,Clay soil,Open-pollinated,Warm and dry,Yes,275,129,41,Discolored
July,Meghalaya,Red soil,Open-pollinated,Monsoon,Yes,282,107,41,Discolored
October,Jharkhand,Laterite soil,Open-pollinated,Monsoon,Yes,300,130,26,Broken
August,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,150,30,28,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,262,30,40,Silkcut
April,Haryana,Black soil,Hybrid,Warm and dry,Yes,120,40,29,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,181,41,22,Pure
January,Uttar Pradesh,Sandy soil,Hybrid,Hot and humid,Yes,287,41,42,Broken
March,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,122,110,42,Pure
January,Mizoram,Clay loam,Hybrid,Hot and dry,No,271,106,21,Pure
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,290,29,44,Silkcut
September,Meghalaya,Clay soil,Open-pollinated,Hot and humid,Yes,179,71,44,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,283,20,20,Pure
August,Sikkim,Alluvial soil,Open-pollinated,Hot and humid,Yes,242,128,42,Broken
April,Bihar,Black soil,Open-pollinated,Cold and dry,Yes,271,90,21,Discolored
January,Uttar Pradesh,Black soil,Hybrid,Cold and dry,Yes,199,41,42,Pure
March,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,178,40,24,Broken
March,Jharkhand,Red soil,Hybrid,Hot and humid,Yes,220,39,43,Broken
September,Assam,Black soil,Hybrid,Hot and humid,Yes,179,40,31,Silkcut
February,Sikkim,Red soil,Open-pollinated,Warm and dry,Yes,148,30,25,Silkcut
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,152,30,27,Silkcut
November,Uttar Pradesh,Red soil,Hybrid,Hot and dry,Yes,244,102,21,Pure
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,120,22,21,Pure
March,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,296,123,37,Pure
July,Punjab,Sandy loam,Hybrid,Hot and humid,No,120,69,40,Pure
July,Mizoram,Laterite soil,Open-pollinated,Hot and dry,Yes,282,108,45,Pure
October,Jharkhand,Black soil,Open-pollinated,Warm and dry,Yes,196,81,38,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,247,40,27,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,28,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and dry,Yes,180,41,28,Pure
March,Uttar Pradesh,Peaty soil,Open-pollinated,Warm and dry,Yes,179,40,26,Broken
September,Punjab,Clay soil,Hybrid,Hot and dry,No,179,20,29,Silkcut
December,Jharkhand,Clay soil,Open-pollinated,Monsoon,Yes,291,127,43,Pure
February,Jharkhand,Alluvial soil,Open-pollinated,Hot and humid,Yes,151,29,29,Silkcut
October,Mizoram,Red soil,Open-pollinated,Warm and dry,Yes,243,70,28,Silkcut
October,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,279,33,44,Silkcut
October,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,217,31,38,Pure
June,Haryana,Sandy soil,Hybrid,Hot and dry,Yes,181,40,38,Silkcut
April,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,285,20,28,Discolored
September,Nagaland,Sandy soil,Hybrid,Hot and dry,Yes,220,103,40,Pure
March,Jharkhand,Black soil,Hybrid,Hot and dry,Yes,120,20,31,Pure
March,West Bengal,Alluvial soil,Hybrid,Warm and dry,Yes,355,70,39,Silkcut
May,West Bengal,Clay soil,Hybrid,Warm and dry,Yes,120,106,21,Pure
April,Sikkim,Red soil,Open-pollinated,Hot and humid,Yes,303,123,26,Silkcut
March,Assam,Black soil,Hybrid,Warm and dry,Yes,182,41,34,Silkcut
September,Nagaland,Clay loam,Open-pollinated,Warm and dry,Yes,277,130,21,Discolored
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,No,312,129,21,Silkcut
December,Tripura,Black soil,Hybrid,Warm and dry,Yes,280,41,42,Silkcut
March,Mizoram,Black soil,Hybrid,Hot and humid,Yes,180,20,23,Broken
September,Sikkim,Red soil,Hybrid,Cold and dry,Yes,306,72,41,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,287,69,29,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,20,Pure
March,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,21,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,37,Pure
May,Haryana,Black soil,Hybrid,Hot and humid,Yes,177,41,25,Pure
January,Uttar Pradesh,Red soil,Hybrid,Hot and humid,Yes,239,102,27,Broken
February,Haryana,Clay loam,Hybrid,Warm and dry,Yes,147,31,21,Silkcut
August,Sikkim,Red soil,Open-pollinated,Hot and dry,Yes,349,107,37,Discolored
September,Mizoram,Clay loam,Open-pollinated,Hot and humid,Yes,149,102,30,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,177,40,29,Broken
September,Jharkhand,Sandy loam,Open-pollinated,Hot and dry,Yes,292,125,21,Pure
December,Meghalaya,Black soil,Hybrid,Hot and humid,Yes,181,40,32,Broken
January,Punjab,Clay soil,Hybrid,Hot and dry,No,120,20,29,Pure
January,Punjab,Black soil,Hybrid,Hot and dry,Yes,120,21,28,Pure
August,Sikkim,Alluvial soil,Hybrid,Monsoon,Yes,295,70,46,Pure
January,Mizoram,Black soil,Hybrid,Warm and dry,No,122,30,21,Silkcut
November,Jharkhand,Alluvial soil,Hybrid,Hot and humid,Yes,245,126,43,Broken
August,Haryana,Peaty soil,Open-pollinated,Hot and humid,Yes,180,126,27,Silkcut
July,Mizoram,Red soil,Hybrid,Hot and humid,Yes,180,41,30,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,51,43,Silkcut
January,Haryana,Black soil,Hybrid,Hot and humid,Yes,246,40,26,Pure
February,Haryana,Black soil,Hybrid,Cold and dry,Yes,180,31,47,Silkcut
September,Haryana,Red soil,Hybrid,Hot and humid,Yes,283,31,28,Silkcut
November,Jharkhand,Sandy loam,Hybrid,Warm and dry,Yes,284,40,41,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,290,69,30,Silkcut
September,Jharkhand,Red soil,Open-pollinated,Hot and humid,Yes,300,40,32,Discolored
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,122,40,41,Broken
July,Jharkhand,Black soil,Open-pollinated,Hot and humid,Yes,179,31,40,Silkcut
April,Haryana,Alluvial soil,Hybrid,Hot and humid,No,288,72,45,Discolored
February,Haryana,Laterite soil,Open-pollinated,Hot and humid,Yes,344,29,27,Silkcut
